Economy_Label,Q1 2006_Index_Average_Q1_2023__100_Value,Q2 2006_Index_Average_Q1_2023__100_Value,Q3 2006_Index_Average_Q1_2023__100_Value,Q4 2006_Index_Average_Q1_2023__100_Value,Q1 2007_Index_Average_Q1_2023__100_Value,Q2 2007_Index_Average_Q1_2023__100_Value,Q3 2007_Index_Average_Q1_2023__100_Value,Q4 2007_Index_Average_Q1_2023__100_Value,Q1 2008_Index_Average_Q1_2023__100_Value,Q2 2008_Index_Average_Q1_2023__100_Value,Q3 2008_Index_Average_Q1_2023__100_Value,Q4 2008_Index_Average_Q1_2023__100_Value,Q1 2009_Index_Average_Q1_2023__100_Value,Q2 2009_Index_Average_Q1_2023__100_Value,Q3 2009_Index_Average_Q1_2023__100_Value,Q4 2009_Index_Average_Q1_2023__100_Value,Q1 2010_Index_Average_Q1_2023__100_Value,Q2 2010_Index_Average_Q1_2023__100_Value,Q3 2010_Index_Average_Q1_2023__100_Value,Q4 2010_Index_Average_Q1_2023__100_Value,Q1 2011_Index_Average_Q1_2023__100_Value,Q2 2011_Index_Average_Q1_2023__100_Value,Q3 2011_Index_Average_Q1_2023__100_Value,Q4 2011_Index_Average_Q1_2023__100_Value,Q1 2012_Index_Average_Q1_2023__100_Value,Q2 2012_Index_Average_Q1_2023__100_Value,Q3 2012_Index_Average_Q1_2023__100_Value,Q4 2012_Index_Average_Q1_2023__100_Value,Q1 2013_Index_Average_Q1_2023__100_Value,Q2 2013_Index_Average_Q1_2023__100_Value,Q3 2013_Index_Average_Q1_2023__100_Value,Q4 2013_Index_Average_Q1_2023__100_Value,Q1 2014_Index_Average_Q1_2023__100_Value,Q2 2014_Index_Average_Q1_2023__100_Value,Q3 2014_Index_Average_Q1_2023__100_Value,Q4 2014_Index_Average_Q1_2023__100_Value,Q1 2015_Index_Average_Q1_2023__100_Value,Q2 2015_Index_Average_Q1_2023__100_Value,Q3 2015_Index_Average_Q1_2023__100_Value,Q4 2015_Index_Average_Q1_2023__100_Value,Q1 2016_Index_Average_Q1_2023__100_Value,Q2 2016_Index_Average_Q1_2023__100_Value,Q3 2016_Index_Average_Q1_2023__100_Value,Q4 2016_Index_Average_Q1_2023__100_Value,Q1 2017_Index_Average_Q1_2023__100_Value,Q2 2017_Index_Average_Q1_2023__100_Value,Q3 2017_Index_Average_Q1_2023__100_Value,Q4 2017_Index_Average_Q1_2023__100_Value,Q1 2018_Index_Average_Q1_2023__100_Value,Q2 2018_Index_Average_Q1_2023__100_Value,Q3 2018_Index_Average_Q1_2023__100_Value,Q4 2018_Index_Average_Q1_2023__100_Value,Q1 2019_Index_Average_Q1_2023__100_Value,Q2 2019_Index_Average_Q1_2023__100_Value,Q3 2019_Index_Average_Q1_2023__100_Value,Q4 2019_Index_Average_Q1_2023__100_Value,Q1 2020_Index_Average_Q1_2023__100_Value,Q2 2020_Index_Average_Q1_2023__100_Value,Q3 2020_Index_Average_Q1_2023__100_Value,Q4 2020_Index_Average_Q1_2023__100_Value,Q1 2021_Index_Average_Q1_2023__100_Value,Q2 2021_Index_Average_Q1_2023__100_Value,Q3 2021_Index_Average_Q1_2023__100_Value,Q4 2021_Index_Average_Q1_2023__100_Value,Q1 2022_Index_Average_Q1_2023__100_Value,Q2 2022_Index_Average_Q1_2023__100_Value,Q3 2022_Index_Average_Q1_2023__100_Value,Q4 2022_Index_Average_Q1_2023__100_Value,Q1 2023_Index_Average_Q1_2023__100_Value,Q2 2023_Index_Average_Q1_2023__100_Value,Q3 2023_Index_Average_Q1_2023__100_Value,Q4 2023_Index_Average_Q1_2023__100_Value,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value,Q1 2025_Index_Average_Q1_2023__100_Value,Q2 2025_Index_Average_Q1_2023__100_Value,Q3 2025_Index_Average_Q1_2023__100_Value
Lithuania,29.83,40.27,38.75,38.68,37.29,37.01,37.59,36.8,37.64,33.95,33.77,33.1,36.41,34.11,40.85,41.25,40.58,40.45,42.41,39.79,40.2,39.66,40.3,40.5,45.17,45.22,41.76,37.91,42.5,40.47,41.18,40.69,40.35,44.13,44.59,44.53,43.31,44.01,47.24,40.92,45.25,47.71,44.55,36.52,35.15,37.18,41.56,45.2,47.77,63.45,68.74,61.52,63.47,60.49,63.98,51.68,49.67,48.35,47.28,44.64,45.24,42.8,58.29,60.22,58.57,63.94,67.69,71.85,68.66,71.1,76.34,60.58,74.53,76.04,89.85,94.22,78.1,79.22,84.52
Madagascar,39.45,37.08,36.4,37.24,37.24,28.65,28.76,31.34,31.34,33.68,33.71,33.73,28.31,29.59,36.33,35.68,29.43,28.79,30.46,31.42,31.52,33.39,31.76,31.76,33.87,43.25,40.51,40.42,42.33,43.94,43.24,44.34,44.35,37.6,37.83,38.88,36.76,36.73,36.84,38.31,38.8,35.39,35.56,34.79,34.64,29.04,28.89,33.7,31.06,31.19,33.27,32.6,28.22,28.35,28.31,28.99,31.38,31.38,27.9,25.13,24.49,26.21,24.07,24.1,24.71,24.76,25.55,25.57,24.8,24.85,24.17,24.14,26.26,26.18,28.32,28.32,28.25,28.25,28.2
Malaysia,388.24,387.77,397.12,404.79,415.55,425.4,428.14,449.88,453.9,445.57,454.88,448.79,430.64,431.29,414.15,422.1,423.86,432.33,452.75,460.05,467.46,502.73,502.14,503.48,487.68,478.28,480.22,477.16,471.92,477.73,478.42,468.54,462.6,461.04,461.8,461.33,466.95,470.86,477.44,477.96,477.56,483.98,481.39,469.8,471.55,463.07,453.5,463.98,468.78,472.78,464.82,462.16,449.86,464.41,464.27,463.65,470.99,463.54,463.47,476.38,477.96,479.45,466.82,469.1,472.54,474.67,480.3,483.75,481.4,492.14,497.72,502.04,488.17,491.03,489.07,497.38,510.76,516.08,519.66
Maldives,21.65,14.37,14.37,14.37,14.37,18.46,18.46,18.46,18.46,14.55,14.55,14.55,14.55,21.46,21.29,21.29,20.53,20.77,20.77,18.68,19.93,21.63,20.82,24.15,13.1,13.1,24.12,23.73,22.58,20.67,18.55,17.93,19.27,18.83,18.83,6.64,7.87,7.87,7.87,19.35,19.35,18.21,17.53,18.21,18.21,7.88,7.88,18.03,18.08,17.98,17.98,17.85,19.52,18.85,17.52,17.51,19.28,17.7,19.87,18.73,18.36,19.63,20.4,19.46,21.69,23.44,23.45,23.43,23.38,19.88,19.24,19.32,16.95,15.56,16.08,19.1,19.08,19.07,17.99
Malta,89.56,101.69,104.21,101.66,99.57,108.44,109.4,105.36,105.14,112.55,121.68,127.45,121.96,126.03,118.84,125.78,133.01,116.91,121.7,123.86,119.82,118.42,121.14,114.4,113.62,107.78,103.18,112.32,115.4,113.08,118.71,115.91,128.11,128.98,128.81,127.44,137.08,142.49,144.48,145.06,144.31,151.21,155.55,140,135.56,141.27,138.49,143.91,139.75,143.26,141.21,142.9,139.31,131.39,115.95,117.18,115.18,105.59,112.35,113.73,121.78,118.96,126.72,134.66,133.71,110.79,112.07,112.24,118.09,117.67,125.81,135.21,125.93,110.33,109.1,106.44,104.44,105.2,110.56
Marshall Islands,11.05,13.49,17.43,17.43,17.43,17.43,17.43,13.49,13.49,13.49,16.14,15.52,15.52,15.52,11.05,11.05,11.05,10.48,10.48,10.48,10.48,11.72,11.72,11.72,15.01,15.01,15.01,21.82,22.37,22.37,22.37,22.07,17.33,15.31,16.45,19.98,19.98,19.98,19.98,18.65,21.13,21.13,21.29,21.29,19.97,23.96,23.96,24.02,22.86,22.86,22.86,12.83,15.44,15.44,15.44,22.56,22.56,22.56,24.95,23.24,23.24,23.24,23.24,21.56,21.56,21.56,21.56,21.56,21.56,21.57,21.57,21.57,21.64,21.64,21.64,21.64,21.64,21.64,21.64
Martinique,39.35,39.35,39.35,38.51,38.51,37.57,39.39,35.72,35.75,31.39,30.72,30.74,30.74,34.63,35.15,35.14,35.12,35.8,35.96,35.95,35.76,35.76,31.45,31.45,32.54,31.52,29.7,31.99,29.23,29.91,29.09,29.09,34.3,35.77,35.77,29.86,29.19,33.03,28.48,28.48,24.02,32.01,31.99,32,32.71,32.65,32.65,36.3,36.34,35.32,34.8,32.83,31.73,36.65,43.62,40.36,40.33,45.22,44.56,45.33,45.34,45.34,44.66,45.19,44.52,44.52,43.85,43.89,43.48,42.84,39.66,39.83,40.16,38.73,39.46,39.47,39.47,39.47,39.47
Mauritania,21.93,25.24,24.27,26.04,26.42,24.58,16.55,16.97,16.97,17.78,19.94,19.27,19.27,22.51,26.23,26.35,26.45,27.31,29.33,28.52,28.5,27.38,26.27,26.46,24.13,24.27,21.13,21.77,25.82,22.53,27.94,24.99,28.84,28.9,24.86,24.96,24.7,24.2,26.9,26.64,21.13,27.48,27.48,24.85,26.32,23.89,26.99,36.42,37.17,34.45,29.84,28.48,30.52,29.86,29.93,28.98,24.58,21.81,21.92,21.89,26.56,26.84,26.95,22.65,23.79,23.09,23.06,23.07,23.11,23.48,25.24,26.43,26.44,24.02,22.58,22.03,28.16,31.01,32.17
Mauritius,56.89,55.67,58.24,58.45,62.46,66.33,69.42,66.53,64.21,63.85,59.21,60.64,60.43,62.26,63.43,63.46,60.3,64.41,60.53,54.1,53.9,55,53.67,50.69,60.77,66.93,63.74,62.38,70.8,70.74,74.53,70.42,63.41,61.03,65.56,65.91,66.66,70.83,71.42,72.95,76.62,70.46,72.46,72.42,72.09,70.51,65.89,65.28,68.5,69.6,71.95,71.54,72.87,71.68,71.8,73.15,73.95,74.64,67.45,66.05,68.35,74.76,73.26,60.23,58.33,59.73,58.54,61.48,58.75,64.91,63.17,67.12,70.69,67.82,68.57,81.22,79.43,76.72,80.23
Mayotte,21.36,21.37,20.03,20.71,20.71,15.7,8.64,8.64,8.64,8.64,8.64,8.64,20.47,21.88,23.78,26.15,26.73,27.52,26.19,26.16,27.63,25.26,25.93,25.93,24.38,24.4,24.4,24.09,21.35,21.53,22.21,22.21,23.19,30.42,28.77,27.89,27.89,28.66,28.65,33.08,30.19,25.57,25.61,20.3,21.28,20.39,19.57,22.83,20.17,20.2,21.14,18.88,18.1,18.92,18.93,19.59,19.96,19.96,16.48,16.35,16.39,16.28,14.43,16.64,15.68,15.67,16.44,16.44,13.33,15.96,15.87,16.28,17.58,16.73,15.4,15.4,17.17,17.44,17.39
Mexico,143.57,142.38,139.67,142.53,138.61,143.59,142.52,141.7,151.41,154.32,156.61,161.29,164.2,162.29,150.69,146.59,146.98,153.24,158.43,163.45,162.51,162.53,155.93,164.09,152.5,147.44,155.96,159.5,161.06,164.75,168.71,166.65,159.52,160.45,167.26,168.96,173.04,170.29,169.68,175.71,173.38,174.27,169.71,161.05,160.31,160.36,166.02,165.26,164.2,162.19,165.86,166.01,167.2,167.22,172.27,180.56,178.85,177.06,173.79,176.1,179.28,170.47,174.39,172.37,173.11,162.03,169.96,176.14,175.41,176.84,181.35,185.89,190.5,190.58,197.38,188.99,188.59,187.68,191.31
Micronesia (Federated States of),5.88,5.88,11.32,11.32,12.69,12.69,12.69,12.25,12.25,12.31,13.46,13.46,12.86,11.86,11.86,11.85,11.86,6.13,6.13,6.13,6.13,5.33,5.33,5.33,8.42,8.42,8.42,8.42,6.5,6.5,6.5,6.5,6.5,6.5,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,8.05,8.05,8.05,8.05,6.19,12.7,12.7,12.83,12.83,12.83,12.83,12.83,12.83,14.97,14.97,14.97,14.97,14.97,14.97,14.97,14.97,14.97,14.97,14.97,14.97,14.97,14.97,14.97,14.99,14.99,14.99,14.99,14.99,14.99,14.99
Montenegro,,,,,,,,,4.6,4.6,13.55,11.05,13.79,14.36,14.35,12.27,16.61,9.34,9.96,9.72,9.07,13.28,10.19,10.22,13.54,13.22,13.18,11.44,8.75,9.24,9.96,10.47,10.47,11.24,10.97,11.29,11.03,11.03,11.68,10.57,13.17,13.55,13.56,14.74,12.09,12.95,10.96,10.41,10.41,9.77,9.96,9.29,9.42,9.42,15.48,15.48,15.47,15.46,15.51,15.49,15.01,15.01,15.08,14.3,14.27,14.31,14.39,14.95,15.13,16.14,15.44,14.41,14.87,15.11,15.11,15.31,19.71,19.52,19.51
Montserrat,,,,,,9.66,9.66,,,,,,,,,,,,,7.98,,,,,,,,,,,9.51,9.51,9.51,9.52,9.52,10.87,10.87,10.87,10.87,10.87,10.87,14,14,13.96,14,14,14,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,,,,,,,,,,,,,,,,
Morocco,63.74,65.55,65.99,64.87,62.49,70.71,68.78,89.01,96.2,97.41,123.71,131.81,135.12,132.67,146.78,148.23,148.58,161.84,173.65,183.29,187.33,194.27,183.22,167.37,165.47,166.99,167.12,176.46,180.04,181.04,184.23,187.46,185.3,187.04,193.58,195.52,194.72,195.53,192.21,202.28,201.7,204.88,209.49,211.16,210.05,218.69,233.78,233.38,242.27,225.3,218.65,202.82,199.3,203.52,207.8,202.84,215.75,210.14,205.9,210.87,220.15,218.02,218.6,218.34,219.11,227.76,235.06,238.06,245.02,241.59,249.39,251.15,260.22,263.96,257.04,253.45,257.98,258.59,252.14
Mozambique,32.47,32.45,32.47,32.08,32.08,35.45,35.63,29.12,29.13,33.09,33.1,37.96,35.34,37.36,46.08,47.13,40.09,42.27,52.2,56.36,56.95,53.08,51.74,52.39,53.82,54.97,53.47,46.41,51.34,55.79,64.3,64.37,64.96,55.81,53.22,54.08,48.52,48.38,54.96,44.19,43.96,43.39,44.21,42.56,36.92,35.57,35.55,38.93,41.4,40.63,41.35,41.11,36.39,40.43,41.42,41.46,44.06,44.56,47.12,47.37,52.49,49.75,48.49,46.77,45.23,45.17,47.18,47.2,48.48,48.13,50.35,52.64,52.37,51.71,53.91,55.59,55.54,55.2,56.83
Myanmar,15.88,18.38,16.19,16.19,15.39,15.39,15.39,15.78,15.78,20.03,19.27,19.42,22.36,20.22,23.36,25.08,24.25,26.85,26.92,23.81,18.43,25.6,29.02,29.53,29.54,34.29,41.37,43.97,43.98,39.42,38.64,37.58,39.55,41.92,39.29,39.49,43.55,48.49,46.42,51.72,50.95,53.14,58.87,47.96,45.38,44.36,44.72,45.43,45.19,43.56,44.34,40.6,34.04,38.61,38.74,37.53,39.84,39.16,37.03,37.41,39.95,30.34,26.23,32.74,30.93,35.91,39.11,39.03,44.23,50.46,47.87,46.43,43.46,42.58,40.32,38.44,37.15,35.85,34.99
Namibia,32.8,32.72,32.16,29.33,29.27,29.47,28.13,27.05,28.41,29.28,29.31,29.31,26.7,33.05,48.46,45.6,47.52,50.34,48.58,45.87,46.01,46.5,45.5,45.54,44.59,46.64,49.83,52.09,54.68,49.96,50.31,48.04,50.09,49.94,49.74,54.01,55.84,49.88,49.77,48.85,59.61,51.81,51.88,52.6,47.21,44.15,42.76,50.29,44.39,43.44,44.34,42.07,42.74,44.89,44.34,44.27,42.15,42.13,34.55,36.46,36.49,35.84,47.87,47.41,47.37,47.3,47.34,47.42,45.53,34.82,44.68,45.47,42.87,46.12,47.25,46.13,64.47,67.33,75.65
Nauru,,,,,,,,,,,,,,,,,,,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,,,,,4.43,3.88,3.88,6.74,6.74,6.86,6.86,6.86,6.86,6.86,6.86,5.05,4.53,4.53,4.53,4.53,4.53,4.32,4.32,5,5,5,5,5,4.32,4.32,4.32,4.32,5,,,,,,,,,,,,,,,,,,,,
Netherlands (Kingdom of the),432.4,443.05,447.76,443.49,444.76,448.99,457.05,468.22,459.18,455.17,438.58,441.04,438.29,435.3,420.9,423.54,424.6,434.78,438.1,430.87,435.48,435.87,418.85,423.22,410.96,408.85,412.81,403.03,394.62,387.23,393.05,395.51,389.11,393.55,396.46,381.21,382.8,386.25,387.07,391.94,396.54,386.06,390.72,384.39,391.14,395.89,399.67,398.03,407.95,416.33,401.3,402.81,411.17,410.17,423.83,413.09,407.27,381.23,381.63,393.87,402.96,398.76,390.87,389.78,388.34,379.54,387.72,388.99,390.27,398.22,394.91,389.69,378.98,379.29,377.7,371.91,388.49,384.53,378.71
Netherlands Antilles,57.65,57.57,55.62,56.11,58.92,62.97,65.81,58.46,61.45,60.16,54.69,55.06,50.74,51.71,52.42,47.02,47.11,47.11,47.11,49.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,42.15,42.37,46.57,47.71,51.16,50.01,55.86,53.42,51.49,49.82,52.43,53.08,51.7,51.23,47.22,47.23,45.11,45.16,47.54,48.2,48.24,47.87,47.84,45.7,46.84,45.09,45.68,48.93,48.48,48.61,50.91,51.32,49.71,50.4,48.39,46.86,44.99,44.36,44.36,44.93,46.09,46.09,45.27,46.46,45.3,48.5,48.51,42.31,41.61,39.23,38.31,35.8,36.12,36.8,39.22,39.2,38.42,39.73,42.34,39.33,39.33,41.41,41.34,40.14,39.02,40.12,40.12,41.38,42.17,43.55,44.27,44.69,44.93,46.29,46.45,45.4,45.43,45.69,45.22
New Zealand,91.38,91.75,91.17,93.55,96.23,104.71,100.55,100.7,100.05,101.79,93.22,93.86,91.17,91.15,86.7,85.49,84.44,85.65,83.7,83.11,82.51,82.11,85.46,84.9,85.91,85.19,85.26,92.62,88.91,86.9,89.25,93.77,92.6,92.9,92.04,92.36,95.32,93.36,91.58,90.83,89.89,84.91,86.28,98.82,104.7,106.88,103.52,101.4,100.84,86.27,95.92,92.18,91.89,94.79,93.44,91.48,89.23,91.09,90.98,90.35,90.27,96.35,97.44,98.69,99.63,100.15,99.84,101.91,100.42,98.63,110.96,105.61,104.01,104.66,93.64,92.19,85.27,85.32,85.35
Nicaragua,14.77,22.98,23.64,23.66,23.73,25.91,28.17,28.18,28.22,28.36,28.45,26.5,27.86,26.49,27.04,27.04,25.58,24.51,27.67,27.56,30.9,18.45,20.46,16.84,16.84,18.37,18.37,21.88,25.92,25.89,25.92,21.74,21.74,23.95,24.63,24.64,24.81,20.74,20.74,24.5,24.72,24.72,24.72,24.72,24.72,24.72,28.97,28.97,26.76,26.76,21.05,21.05,21.05,21.05,21.05,22.25,22.33,22.33,24.16,30.4,30.4,30.41,24.95,24.92,27.33,27.34,26.4,26.4,26.41,26.25,25.64,28.14,28.94,26.99,25.81,25.73,27.86,29.96,31.79
Nigeria,75.95,77.58,79.03,81.16,87.78,84.12,82.71,82.2,88.36,88.33,92.29,91.44,91.15,86.66,90.95,89.86,92.66,98.03,100.47,99.7,102.32,95.26,89.69,91.73,92.63,88.43,89.12,90.48,92.5,91.24,95.55,97.02,100.96,99.39,103.39,101.81,100.54,106.15,106.3,105.15,104.63,96.15,96.73,95.02,92.1,92.05,82.61,80.58,81.6,77.34,80.68,78.19,78.09,77.45,75.03,80.46,83.55,82.76,93.22,79.5,80.5,78.52,78.63,76.18,75.92,77.48,92.35,77.89,86.29,93.11,85.59,84.22,99.92,100.97,98.29,98.84,100.4,104.81,111.85
Niue,,,,,,,,,,,,,,,,,,,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.87,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76
Norfolk Island,2.97,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,9.16,9.16,9.16,9.16,3.88,3.88,3.88,3.88,3.88,3.9,3.9,3.9,5.05,5.05,5.05,5.05,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Northern Mariana Islands,9.87,9.87,5.88,5.88,6.34,6.34,6.34,12.25,12.25,12.31,13.46,13.46,12.86,11.86,11.86,11.85,11.86,11.84,13.79,13.79,13.8,15.59,13.64,13.64,13.64,13.64,13.64,13.64,14.33,14.81,14.81,14.81,14.82,14.82,15.96,15.96,15.96,15.96,10.23,10.23,13.02,18.5,24.65,24.65,23.1,23.1,23.1,17.61,16.46,16.46,16.46,16.59,16.59,16.59,16.38,16.38,16.38,15.55,15.55,15.55,15.55,15.55,15.71,15.03,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14,15.14
Norway,43.57,44.82,43.93,48.2,51.58,52.66,58.08,61.32,55.93,59.99,61.87,62.48,61.42,55.99,57.12,59.9,50.92,54.23,54.59,56.21,58.41,66.4,59.53,65.63,65.07,64.5,63.38,61.64,63.14,58.06,57.43,58.39,59.57,59.57,57.43,57.49,57.49,58.29,62.19,60.99,59.64,59.64,59.8,56.05,53.87,46.91,49.84,48.92,48.9,57.82,53.38,59.3,60.36,62.59,72.06,69.76,70.11,59.28,65.73,66.56,67.02,66.04,66.65,70.08,65.44,62.21,64.83,67.09,64.47,64.09,62.91,62.49,62.17,61.11,59.44,57.01,56.81,58.61,52.59
Oman,93.4,92.31,90.17,100.5,103.27,106.35,106.68,107.03,98.8,102.14,125.62,132.52,127.33,134.39,116.12,117.22,115.27,123.95,124.78,125.87,129.68,118.59,123.52,120.57,122.83,126.49,139.15,134.45,135.29,136.02,139.22,136.87,134.79,145.19,140.64,130.53,119.67,123.4,126.38,134.64,148.51,143.21,142.19,139.35,138.31,141.74,146.92,155.07,157.05,146.77,141.5,152.46,152.62,154.58,144.36,146.62,143.81,150.29,154.61,154.06,146.52,144.41,148.24,144.6,140.74,140.6,140.91,136.93,139.57,148.28,150.35,150.68,141.77,120.73,118.52,117.87,125.4,143.06,142.58
Pakistan,118.13,121.63,119.04,123.8,123.76,129.56,128.58,127.75,135.11,138.63,136.69,132.07,141.19,127.03,133.09,131.99,135.77,135.07,138.45,138.06,145.34,141.93,128.75,116.44,106.03,103.79,109.58,108.9,111.72,115.4,116.54,116.17,115.02,108.46,112.98,115.71,116.82,121.58,122.25,126.21,130.02,126.17,123.15,118.62,115.53,115.16,122.08,119.81,128.7,122.28,122.46,119.51,112.08,112.93,111.74,111.31,118.55,119.92,121.02,123.09,131.1,130.47,128.17,120.93,122.62,123.43,126.97,127.21,134.8,142.91,145.22,148.63,150.27,157.92,156.64,159.93,162.85,151.66,168.19
Palau,9.87,9.87,9.89,9.89,10.65,10.65,10.65,11.64,11.64,11.7,12.85,12.85,9.75,11.86,11.86,11.85,11.86,11.84,11.84,11.84,11.85,8.58,8.59,8.59,8.59,8.59,8.59,8.59,8.59,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08,,,,9.65,9.65,9.65,9.23,9.27,9.27,9.27,9.26,9.26,9.24,9.24,8.55,8.55,8.35,8.35,8.35,7.56,7.56,7.56,7.56,7.56,7.56,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.87,6.87,6.87,6.87,6.87,6.87
Panama,116.79,120.82,124.22,128.34,128.88,128.16,132.15,139.7,139.64,143.64,151.01,157.54,150,148.41,153.22,151.66,154.71,152.51,156.02,159.63,163.89,166.12,168.42,183.88,187.25,191.01,193.26,194.68,196.82,198.48,198.88,200.84,188.27,187.13,190.17,191.03,184.55,194.08,198.03,209.41,204.28,200.4,195.29,187.44,195.4,188.31,193.25,190.06,188.17,191.68,181.22,182.51,182.99,184.6,188.56,193.98,187.82,193,197.74,192.66,193.47,192.42,193.45,195.31,197.43,198.15,195.69,200.39,197.59,201.9,203.79,207.88,208.55,214.95,217.06,212.46,205.56,206.98,210.27
Papua New Guinea,31.03,34.73,36.37,37.51,37.53,37.48,39.15,40.27,40.28,40.28,40.14,40.74,40.03,36.9,29.03,29.04,27.9,27.9,29.2,30.34,31.13,31.21,32.08,32.89,32.84,37.79,40.74,41.37,42.66,42.83,43.58,43.96,43.47,43.56,42.8,46.17,45.89,47.17,47.25,45.45,45.45,45.45,46.19,46.21,47.82,48.56,48.92,46.95,46.26,46.22,45.68,44.59,44.61,44.59,44.31,43.55,43.55,44.32,44.32,46.12,46.04,46.14,45.31,44.59,44.59,44.56,46.47,46.46,47.59,49.42,49.43,49.36,49.51,49.53,49.53,49.52,49.52,49.52,49.51
Paraguay,,,,,,,,4.9,4.9,4.9,4.9,4.9,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.45,4.45,14.78,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,6.67,6.67,6.67,6.67,6.67,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.75,8.71,8.71,8.71,8.71,8.71,8.71
Peru,78.65,83.29,87.15,85.44,84.67,83.87,83.38,82.6,82.33,85.84,84.38,84.4,88.68,91.9,95.76,93.91,94.75,96.67,96.71,105.06,107.69,110.78,108.4,107.43,99.06,98.55,103.86,103.71,106.88,111.99,111.57,111.16,106.88,108.89,111.4,112.49,111.66,110.53,112.04,113.76,108.13,107.05,110.36,115.7,117.44,112.87,114.14,115.37,114.91,114.44,116.6,118.27,122.51,122.25,117.48,121.13,120.5,120.05,114.5,114.38,115.51,114.35,119.2,114.11,110.45,113.36,116.32,119.23,118.38,120.53,126.38,134.84,135.73,138.07,137.81,134.31,135.5,134.44,134.86
Philippines,123.39,115.42,112.92,118.45,115.49,116.38,123.28,128.54,124.62,115.07,109.82,118.41,124.82,120.25,123.23,122.69,123.93,131.25,131.46,134.52,137.23,140.14,141.37,132.54,129.03,126.35,137.11,143.79,145.21,146.5,149.35,150.04,146.8,153.96,146.23,136.23,137.76,141.72,142.83,153.74,159.97,166.55,167.08,172.22,170.94,169.6,173.6,168.99,170.76,167.01,172.31,174.12,172.51,176.85,180.35,165.41,163.11,163.75,155.43,154.98,147.36,150.19,154.28,150.6,148.27,144.52,154.71,161.01,173.22,176.09,181.97,184.71,181.03,180.87,180.54,181.84,183.93,185.23,184.11
Poland,52.32,53.21,56.54,56.67,55.7,56.08,58.52,47.63,47.8,47.57,45.34,44.89,46.22,49.67,58.65,78.38,83.59,82.96,78.86,75.71,74.12,83.37,85.39,87.25,85.56,85.36,80.82,89.8,91.68,93.38,103.39,107.7,106.31,101.72,107.46,103.71,100.76,100.36,109.79,98.71,101.78,99.5,103.1,105.96,105.1,109.57,109.84,114.88,116.94,125.64,118.2,117.84,120.08,123.65,129.89,133.45,132.24,128.5,126.21,124.79,125.76,124.32,121.31,124.33,125.42,121.65,119.96,121.98,116.14,118.85,124,133.24,131.1,131.48,129,132.46,131.91,134.81,142.6
Portugal,127.34,129.81,126.33,124.61,125.38,125.57,123.43,130.19,146.34,145.9,143.59,148.05,151.32,140.83,150.14,155.05,150.68,149.61,156.27,144.7,147.53,157.4,156.8,153.6,148.39,152.33,154.18,158.55,164.84,161.62,164.62,157.55,159.66,161.8,156.42,153.83,153.49,153.71,159.05,156.57,158.85,155.29,157.38,156.05,164.53,159.75,158.25,165.55,166.29,186.39,175.68,184.28,179.9,160.62,158.48,146.35,147.8,147.05,154.66,161.93,161.35,160.34,158.35,169.27,169.47,168.03,173.03,175.26,173.82,174.55,175.58,183.12,185.62,184.73,183,184.56,177.84,176.13,182.54
